200 0   0.00000000   0.00000000   0.00000000
200 1   0.00045094   0.00046250  -0.00000004
200 2   0.00130085   0.00131250  -0.00000001
200 3   0.00205079   0.00206250  -0.00000005
200 4   0.00270068   0.00271250  -0.00000002
200 5   0.00325060   0.00326250  -0.00000004
200 6   0.00370052   0.00371250  -0.00000001
200 7   0.00405046   0.00406250  -0.00000001
200 8   0.00430045   0.00431250   0.00000001
200 9   0.00445045   0.00446250  -0.00000001
200 10   0.00450044   0.00451250   0.00000000
200 11   0.00445043   0.00446250  -0.00000004
200 12   0.00430040   0.00431250  -0.00000001
200 13   0.00405043   0.00406250  -0.00000004
200 14   0.00370048   0.00371250   0.00000001
200 15   0.00325056   0.00326250  -0.00000001
200 16   0.00270066   0.00271250  -0.00000000
200 17   0.00205078   0.00206250  -0.00000001
200 18   0.00130086   0.00131250  -0.00000001
200 19   0.00045094   0.00046250   0.00000000
200 20   0.00000000   0.00000000   0.00000000
