5 18   0.08905081   0.03456707   0.09714439
5 19   0.23767313   0.00523708   0.09797525
5 20   0.40000001   0.00000000   0.00000000
6 0   0.00000000   0.00000000   0.00000000
6 1  -0.00472373   0.00299897   0.09932071
6 2  -0.01027401   0.00503486   0.09935187
6 3  -0.01551435   0.00824994   0.09936264
6 4  -0.02047075   0.01246403   0.09935026
6 5  -0.02511178   0.01760839   0.09931044
6 6  -0.02933844   0.02365945   0.09923722
6 7  -0.03298504   0.03058284   0.09912343
6 8  -0.03582239   0.03828612   0.09896223
6 9  -0.03758402   0.04657569   0.09874916
6 10  -0.03801328   0.05511922   0.09848437
6 11  -0.03692158   0.06341501   0.09817524
6 12  -0.03422900   0.07077070   0.09783825
6 13  -0.02991505   0.07627777   0.09750026
6 14  -0.02373102   0.07875031   0.09719910
6 15  -0.01428893   0.07662737   0.09698388
6 16   0.00307212   0.06795417   0.09690288
6 17   0.03988213   0.05094878   0.09702603
6 18   0.11781134   0.02622568   0.09743223
6 19   0.25663429   0.00280040   0.09807446
6 20   0.40000001   0.00000000   0.00000000
7 0   0.00000000   0.00000000   0.00000000
7 1  -0.00598339   0.00279908   0.09934977
7 2  -0.01276929   0.00454621   0.09937579
7 3  -0.01900702   0.00730585   0.09938294
7 4  -0.02485930   0.01093455   0.09936769
7 5  -0.03037423   0.01539758   0.09932494
7 6  -0.03547201   0.02071382   0.09924759
7 7  -0.03995199   0.02689980   0.09912732
7 8  -0.04349960   0.03391380   0.09895610
7 9  -0.04571511   0.04159920   0.09872851
7 10  -0.04616840   0.04962956   0.09844487
7 11  -0.04447048   0.05746360   0.09811480
7 12  -0.04032639   0.06431853   0.09775997
7 13  -0.03348891   0.06916551   0.09741447
7 14  -0.02344476   0.07073868   0.09712251
7 15  -0.00853822   0.06755954   0.09693546
7 16   0.01599511   0.05809831   0.09690556
7 17   0.06050210   0.04150959   0.09706097
7 18   0.14208017   0.01967476   0.09744899
7 19   0.27195957   0.00058796   0.09800713
7 20   0.40000001   0.00000000   0.00000000
8 0   0.00000000   0.00000000   0.00000000
8 1  -0.00699784   0.00248902   0.09939473
8 2  -0.01477450   0.00378749   0.09941278
